X,Y,TYPE,SPEED,DirType,Direction
-0.03947,51.5115,4,20,1,212
-0.05442,51.49919,4,5,1,226
-0.05424,51.499298,4,20,1,39
-0.03946,51.511452,4,5,1,40
-0.05367,51.672731,4,40,1,11
-0.052032,51.677334,4,5,1,10
-0.05156,51.67822,4,40,1,192
-0.05286,51.67442,4,5,1,190
-0.056686,51.665346,4,40,1,14
-0.053761,51.672446,4,5,1,16
-0.052973,51.674171,4,40,1,193
-0.056463,51.665525,4,5,1,195
-0.060175,51.650533,4,40,1,4
-0.059868,51.653975,4,5,1,3
-0.058731,51.659495,4,40,1,191
-0.059705,51.653498,4,5,1,181
-0.056872,51.664604,4,40,1,193
-0.058421,51.660385,4,5,1,191
-0.058552,51.660626,4,40,1,10
-0.056888,51.664905,4,5,1,11
-0.059825,51.654263,4,40,1,3
-0.058947,51.659368,4,5,1,11
-0.059722,51.653176,4,40,1,181
-0.059984,51.650307,4,5,1,184
-0.06656,52.47444,4,50,1,96
-0.011485,52.473646,4,5,1,79
-0.011551,52.473654,4,50,1,262
-0.067136,52.474431,4,5,1,274
-0.07406,51.50814,4,20,1,181
-0.07686,51.50322,4,5,1,203
-0.076935,51.503185,4,20,1,16
-0.074139,51.50812,4,5,1,11
-0.07461,53.5505,4,40,1,345
-0.07569,53.55325,4,5,1,345
-0.075654,53.553276,4,40,1,167
-0.074537,53.550616,4,5,1,165
-0.076396,53.554879,4,40,1,167
-0.075747,53.553543,4,5,1,167
-0.075841,53.553547,4,40,1,343
-0.076535,53.555049,4,5,1,343
-0.077487,53.557428,4,40,1,165
-0.076515,53.55514,4,5,1,168
-0.076634,53.555325,4,40,1,346
-0.077626,53.557634,4,5,1,343
-0.078599,53.560184,4,40,1,165
-0.077589,53.557699,4,5,1,167
-0.077732,53.557925,4,40,1,345
-0.078748,53.560328,4,5,1,346
-0.07908,53.56142,4,40,1,164
-0.078719,53.560451,4,5,1,170
-0.078843,53.560618,4,40,1,345
-0.079228,53.561543,4,5,1,345
-0.085307,52.301343,4,70,1,112
-0.088452,52.302043,4,5,1,290
-0.088415,52.302161,4,70,1,112
-0.085181,52.301438,4,5,1,111
-0.1085,52.97539,4,40,1,277
-0.11325,52.97569,4,5,1,275
-0.113545,52.975717,4,40,1,93
-0.108206,52.975407,4,5,1,94
-0.11047,52.55719,4,30,1,277
-0.122212,52.556918,4,5,1,277
-0.122082,52.556925,4,30,1,100
-0.10965,52.55711,4,5,1,93
-0.11089,50.81511,4,30,1,289
-0.12758,50.81847,4,5,1,286
-0.127756,50.818547,4,30,1,105
-0.111105,50.815232,4,5,1,111
-0.12214,52.74383,4,60,1,181
-0.12706,52.71531,4,5,1,188
-0.127214,52.715184,4,60,1,3
-0.122197,52.743875,4,5,1,3
-0.127949,52.557939,4,30,1,90
-0.122513,52.556975,4,5,1,103
-0.122694,52.556979,4,30,1,278
-0.128272,52.557926,4,5,1,272
-0.12975,52.68703,4,60,1,189
-0.13422,52.683,4,5,1,225
-0.133966,52.68314,4,60,1,51
-0.129743,52.687176,4,5,1,11
-0.172415,51.6018,4,50,1,235
-0.175811,51.599943,4,5,1,228
-0.171856,51.602248,4,50,1,50
-0.141424,51.609613,4,5,1,60
-0.142957,52.560891,4,30,1,101
-0.128388,52.557952,4,5,1,95
-0.128736,52.557927,4,30,1,269
-0.143221,52.560871,4,5,1,282
-0.153106,52.56005,4,40,1,75
-0.143381,52.560954,4,5,1,92
-0.143685,52.560936,4,40,1,276
-0.153399,52.560007,4,5,1,253
-0.157675,52.670609,4,60,1,220
-0.16933,52.66281,4,5,1,257
-0.169461,52.662754,4,60,1,73
-0.157707,52.670624,4,5,1,39
-0.1574,52.670825,4,60,1,41
-0.134376,52.682982,4,5,1,52
-0.134557,52.682822,4,60,1,229
-0.157368,52.670796,4,5,1,220
-0.169168,52.322303,4,70,1,138
-0.088866,52.302263,4,5,1,112
-0.088905,52.302155,4,70,1,291
-0.169329,52.322251,4,5,1,313
-0.175934,51.599947,4,50,1,38
-0.172228,51.602096,4,5,1,49
-0.14141,51.609504,4,50,1,247
-0.172045,51.601961,4,5,1,239
-0.17372,51.51997,4,40,1,269
-0.186182,51.519493,4,5,1,267
-0.185808,51.519564,4,40,1,91
-0.173817,51.52002,4,5,1,91
-0.18889,52.55022,4,40,1,72
-0.153549,52.560005,4,5,1,76
-0.153838,52.559915,4,40,1,256
-0.188703,52.550204,4,5,1,250
-0.192215,51.590452,4,50,1,58
-0.176337,51.599645,4,5,1,41
-0.176198,51.599605,4,50,1,223
-0.191201,51.590774,4,5,1,229
-0.19919,51.26053,4,40,1,336
-0.208036,51.267658,4,5,1,302
-0.207903,51.267678,4,40,1,123
-0.19958,51.26133,4,5,1,150
-0.20118,52.007334,4,50,1,336
-0.20668,52.01677,4,5,1,346
-0.20653,52.01681,4,50,1,168
-0.20103,52.00736,4,5,1,159
-0.206619,51.588497,4,40,1,60
-0.192594,51.590306,4,5,1,54
-0.19156,51.590605,4,40,1,232
-0.206909,51.588272,4,5,1,242
-0.20794,52.54917,4,30,1,284
-0.22531,52.55181,4,5,1,297
-0.225305,52.551753,4,30,1,126
-0.208272,52.549248,4,5,1,107
-0.208996,51.587177,4,40,1,32
-0.207018,51.58835,4,5,1,55
-0.20728,51.588129,4,40,1,238
-0.209089,51.586904,4,5,1,223
-0.21042,51.32636,4,40,1,181
-0.212191,51.313947,4,5,1,199
-0.2122,51.314213,4,40,1,24
-0.210616,51.326555,4,5,1,358
-0.215798,51.57798,4,40,1,57
-0.209201,51.58693,4,5,1,29
-0.209282,51.586663,4,40,1,207
-0.215841,51.577808,4,5,1,222
-0.214737,51.311375,4,40,1,28
-0.2124,51.313926,4,5,1,29
-0.212398,51.313738,4,40,1,208
-0.214827,51.311102,4,5,1,210
-0.216895,51.279146,4,40,1,159
-0.208299,51.267807,4,5,1,129
-0.20841,51.267818,4,40,1,306
-0.217022,51.279106,4,5,1,339
-0.217882,51.515766,4,40,1,83
-0.186267,51.519606,4,5,1,94
-0.186628,51.519505,4,40,1,269
-0.218186,51.515692,4,5,1,256
-0.218179,51.307562,4,40,1,27
-0.214971,51.311095,4,5,1,30
-0.215022,51.310863,4,40,1,207
-0.218272,51.307255,4,5,1,211
-0.218365,51.281448,4,40,1,162
-0.217007,51.279408,4,5,1,159
-0.217181,51.279387,4,40,1,338
-0.21906,51.28228,4,5,1,340
-0.219841,51.304695,4,40,1,12
-0.218379,51.307285,4,5,1,24
-0.218508,51.307028,4,40,1,208
-0.219731,51.304552,4,5,1,193
-0.22242,51.29178,4,40,1,167
-0.218643,51.281901,4,5,1,160
-0.219213,51.282599,4,40,1,339
-0.222376,51.29087,4,5,1,353
-0.22708,52.55122,4,30,1,191
-0.22856,52.54781,4,5,1,193
-0.228536,52.547829,4,30,1,9
-0.227159,52.55116,4,5,1,18
-0.22867,52.54358,4,30,1,0
-0.228588,52.547508,4,5,1,0
-0.228655,52.547559,4,30,1,191
-0.228802,52.543713,4,5,1,181
-0.230192,51.51487,4,40,1,83
-0.218315,51.515712,4,5,1,87
-0.218614,51.515633,4,40,1,259
-0.230755,51.514743,4,5,1,259
-0.240045,51.569206,4,40,1,58
-0.216204,51.577839,4,5,1,52
-0.216354,51.577616,4,40,1,234
-0.240276,51.569029,4,5,1,246
-0.241829,51.514358,4,40,1,86
-0.230649,51.514824,4,5,1,86
-0.231199,51.514719,4,40,1,263
-0.242093,51.514271,4,5,1,265
-0.242282,51.56827,4,40,1,55
-0.240446,51.569057,4,5,1,58
-0.241165,51.568636,4,40,1,236
-0.242435,51.568089,4,5,1,231
-0.244599,51.351712,4,40,1,171
-0.24497,51.34733,4,5,1,195
-0.24531,51.34722,4,40,1,24
-0.244712,51.351665,4,5,1,350
-0.24525,51.35372,4,40,1,155
-0.244669,51.351974,4,5,1,170
-0.244779,51.351952,4,40,1,349
-0.24541,51.353657,4,5,1,332
-0.252121,51.51404,4,40,1,103
-0.24227,51.514331,4,5,1,84
-0.242533,51.514236,4,40,1,265
-0.252585,51.514024,4,5,1,280
-0.25719,52.28506,4,60,1,186
-0.26022,52.27194,4,5,1,199
-0.260331,52.27232,4,60,1,19
-0.257451,52.284987,4,5,1,10
-0.262238,52.262114,4,60,1,12
-0.260483,52.272042,4,5,1,18
-0.260432,52.271709,4,60,1,199
-0.261991,52.262026,4,5,1,191
-0.263674,51.47703,4,40,1,219
-0.27343,51.470843,4,5,1,222
-0.273681,51.470785,4,40,1,38
-0.263621,51.476933,4,5,1,43
-0.264525,51.522774,4,40,1,143
-0.260158,51.516789,4,5,1,140
-0.26044,51.516888,4,40,1,319
-0.264805,51.522884,4,5,1,327
-0.267452,51.546823,4,40,1,56
-0.242663,51.568129,4,5,1,61
-0.242793,51.56793,4,40,1,237
-0.267768,51.546573,4,5,1,231
-0.271704,51.545103,4,40,1,52
-0.267835,51.546661,4,5,1,55
-0.268149,51.546439,4,40,1,237
-0.271969,51.544813,4,5,1,236
-0.259879,51.516595,4,40,1,138
-0.252615,51.514116,4,5,1,106
-0.253032,51.514072,4,40,1,282
-0.260157,51.516669,4,5,1,314
-0.273734,51.526178,4,40,1,106
-0.264769,51.523003,4,5,1,136
-0.265087,51.523098,4,40,1,324
-0.273921,51.526092,4,5,1,296
-0.289384,51.492377,4,40,1,61
-0.278407,51.489855,4,5,1,124
-0.278503,51.489823,4,40,1,302
-0.289815,51.492121,4,5,1,243
-0.287234,51.535625,4,40,1,46
-0.272085,51.544948,4,5,1,47
-0.272331,51.544659,4,40,1,233
-0.287366,51.535467,4,5,1,230
-0.29081,51.53336,4,40,1,38
-0.287574,51.535429,4,5,1,43
-0.287676,51.535265,4,40,1,227
-0.290775,51.533266,4,5,1,222
-0.31506,52.53411,4,60,1,38
-0.298538,52.537373,4,5,1,71
-0.31594,52.53475,4,60,1,65
-0.298542,52.537386,4,5,1,77
-0.298687,52.537268,4,60,1,248
-0.316823,52.534331,4,5,1,258
-0.302159,51.49144,4,40,1,88
-0.289796,51.492255,4,5,1,61
-0.290211,51.492003,4,40,1,240
-0.30246,51.491353,4,5,1,271
-0.302347,51.53118,4,50,1,96
-0.274161,51.526277,4,5,1,106
-0.274383,51.526183,4,50,1,286
-0.302698,51.531122,4,5,1,276
-0.314027,51.37506,4,50,1,234
-0.317493,51.372403,4,5,1,211
-0.318551,51.368932,4,50,1,6
-0.314301,51.375076,4,5,1,47
-0.31919,51.36497,4,50,1,10
-0.318593,51.368641,4,5,1,6
-0.318764,51.532947,4,50,1,98
-0.302771,51.53121,4,5,1,96
-0.303148,51.531122,4,50,1,271
-0.319317,51.53289,4,5,1,280
-0.315942,51.459197,4,40,1,40
-0.308338,51.463784,4,5,1,55
-0.308208,51.463779,4,40,1,248
-0.315988,51.459127,4,5,1,221
-0.32351,51.254997,4,50,1,335
-0.32722,51.281587,4,5,1,350
-0.326878,51.28145,4,50,1,169
-0.323288,51.254921,4,5,1,157
-0.334912,51.49589,4,40,1,95
-0.325341,51.492894,4,5,1,124
-0.302913,51.491331,4,40,1,267
-0.325499,51.492786,4,5,1,302
-0.325897,51.49293,4,40,1,302
-0.335498,51.495809,4,5,1,282
-0.324982,51.49275,4,40,1,126
-0.302663,51.491409,4,5,1,84
-0.341081,51.453375,4,40,1,69
-0.316215,51.458983,4,5,1,44
-0.316269,51.458907,4,40,1,219
-0.341266,51.453241,4,5,1,251
